year	country	bug	drug	metric	value
2013	Netherlands	Acinetobacter spp.	Aminoglycosides	n_res	3
2013	Norway	Acinetobacter spp.	Aminoglycosides	n_res	1
2013	Poland	Acinetobacter spp.	Aminoglycosides	n_res	140
2013	Portugal	Acinetobacter spp.	Aminoglycosides	n_res	130
2013	Romania	Acinetobacter spp.	Aminoglycosides	n_res	110
2013	Sweden	Acinetobacter spp.	Aminoglycosides	n_res	6
2013	Slovenia	Acinetobacter spp.	Aminoglycosides	n_res	4
2013	Slovakia	Acinetobacter spp.	Aminoglycosides	n_res	80
2013	United Kingdom	Acinetobacter spp.	Aminoglycosides	n_res	4
2014	Austria	Acinetobacter spp.	Aminoglycosides	n_res	7
2014	Belgium	Acinetobacter spp.	Aminoglycosides	n_res	0
2014	Bulgaria	Acinetobacter spp.	Aminoglycosides	n_res	53
2014	Cyprus	Acinetobacter spp.	Aminoglycosides	n_res	42
2014	Czech Republic	Acinetobacter spp.	Aminoglycosides	n_res	6
2014	Germany	Acinetobacter spp.	Aminoglycosides	n_res	8
2014	Denmark	Acinetobacter spp.	Aminoglycosides	n_res	1
2014	Estonia	Acinetobacter spp.	Aminoglycosides	n_res	0
2014	Greece	Acinetobacter spp.	Aminoglycosides	n_res	671
2014	Spain	Acinetobacter spp.	Aminoglycosides	n_res	47
2014	Finland	Acinetobacter spp.	Aminoglycosides	n_res	1
2014	France	Acinetobacter spp.	Aminoglycosides	n_res	34
2014	Croatia	Acinetobacter spp.	Aminoglycosides	n_res	137
2014	Hungary	Acinetobacter spp.	Aminoglycosides	n_res	264
2014	Ireland	Acinetobacter spp.	Aminoglycosides	n_res	2
2014	Iceland	Acinetobacter spp.	Aminoglycosides	n_res	0
2014	Italy	Acinetobacter spp.	Aminoglycosides	n_res	392
2014	Lithuania	Acinetobacter spp.	Aminoglycosides	n_res	52
2014	Luxembourg	Acinetobacter spp.	Aminoglycosides	n_res	0
2014	Latvia	Acinetobacter spp.	Aminoglycosides	n_res	36
2014	Malta	Acinetobacter spp.	Aminoglycosides	n_res	3
2014	Netherlands	Acinetobacter spp.	Aminoglycosides	n_res	4
2014	Norway	Acinetobacter spp.	Aminoglycosides	n_res	1
2014	Poland	Acinetobacter spp.	Aminoglycosides	n_res	110
2014	Portugal	Acinetobacter spp.	Aminoglycosides	n_res	112
2014	Romania	Acinetobacter spp.	Aminoglycosides	n_res	94
2014	Sweden	Acinetobacter spp.	Aminoglycosides	n_res	1
2014	Slovenia	Acinetobacter spp.	Aminoglycosides	n_res	11
2014	Slovakia	Acinetobacter spp.	Aminoglycosides	n_res	69
2014	United Kingdom	Acinetobacter spp.	Aminoglycosides	n_res	13
2015	Austria	Acinetobacter spp.	Aminoglycosides	n_res	4
2015	Belgium	Acinetobacter spp.	Aminoglycosides	n_res	0
